CODCLAVECIC,TT,MontoPD,ScoreApplicantVendida,TieneGarantia,MontoGarantiaBCP,NumSegmentoOrtogonal,FlgComportamientoPersona,MontoSolicitado,ProductoMic,TipoCreditoMic,TipoActivo,CampanaMic,RatioEndeudamiento,CantidadPlazo,Moneda,DeltaEntidades,PeriodoGracia,MontoTasaEspecial,NumMesesAntiguedad,V_CodLocalidad,RatioEndeudamientoU6MU12M,FlgTenenciaPasivo,MontoTipoCambio,MontoGarantiaComercial,MontoGarantiaAfectacion,NumPDVendida,ScoreApplicant,CAMPANIA_PYME,TEA_PIZARRA,TEA_10DD,MESAPERTURA,canal_venta,FECHA
215633947,0.082003711,0.018117091,405,SIN,0,2,0,300000,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.975410443,72,SOLES,Incrementa,0,0.135,292,1175,0.994710615,1,1,0,0,0.018117091,405,MULTIPROPOSITO,0.135,0.135,202311,TRADICIONAL,2/11/2023
215646634,0.081149566,0.091620208,307,CON,495020.22,3,0,1000000,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.601673763,61,SOLES,0 o menos,0,0.127,203,1303,0.65174855,1,1,495020.22,495020.22,0.091620208,307,MULTIPROPOSITO,0.127,0.127,202311,TRADICIONAL,2/11/2023
215646830,0.081160629,0.009807771,441,CON,647578.8,5,1,479687,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.999993668,72,SOLES,Incrementa,0,0.13,104,411,1,1,1,647578.8,647578.8,0.009807771,441,MULTIPROPOSITO,0.13,0.13,202311,TRADICIONAL,2/11/2023
215646738,0.077768188,0.07291547,321,SIN,0,4,0,78000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.44697269,12,SOLES,0 o menos,0,0.21,341,1301,0.464577209,1,1,0,0,0.07291547,321,REACTIVO REMOTO,0.21,0.21,202311,DIGITAL,2/11/2023
215646666,0.077747302,0.05008,344,SIN,0,5,1,38000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,18,SOLES,0 o menos,0,0.25,102,326,0.744406761,1,1,0,0,0.05008,344,REACTIVO,0.25,0.25,202311,TRADICIONAL,2/11/2023
215713121,0.077783504,0.0756,319,SIN,0,5,1,249000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.595990979,25,SOLES,Incrementa,0,0.19,63,1015,0.751744302,1,1,0,0,0.0756,319,REACTIVO,0.19,0.19,202311,TRADICIONAL,3/11/2023
215713011,0.07776626,0.07304062,321,SIN,0,14,1,72000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,12,SOLES,Incrementa,0,0.22,33,1431,1,1,1,0,0,0.07304062,321,REACTIVO REMOTO,0.22,0.22,202311,DIGITAL,3/11/2023
215713122,0.079126651,0.049135106,345,SIN,0,3,1,150000,NEGOCIO COMERCIAL,ACFI,Mueble,ACTIVO FIJO MUEBLES,0.260462986,48,SOLES,Incrementa,0,0.189,55,1316,0.645307719,1,1,0,0,0.049135106,345,AFM,0.189,0.189,202311,TRADICIONAL,3/11/2023
215722329,0.077756085,0.1472376,276,SIN,0,1,1,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.999597449,12,SOLES,Incrementa,0,0.3,28,1191,0.924036267,1,1,0,0,0.1472376,276,REACTIVO REMOTO,0.3,0.3,202311,DIGITAL,3/11/2023
215722419,0.077749765,0.11295,293,SIN,0,11,1,210000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,24,SOLES,0 o menos,0,0.21,108,1538,1,1,1,0,0,0.11295,293,REACTIVO,0.21,0.21,202311,TRADICIONAL,3/11/2023
215722415,0.078588694,0.004536901,485,CON,379522.32,5,0,316250,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.406742977,37,SOLES,0 o menos,0,0.135,144,996,0.571003605,1,1,379522.32,379522.32,0.004536901,485,MULTIPROPOSITO,0.135,0.135,202311,TRADICIONAL,3/11/2023
215722414,0.077827847,0.06204,331,SIN,0,5,1,95900,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.529700456,26,SOLES,0 o menos,0,0.18,66,1642,0.572930751,1,1,0,0,0.06204,331,REACTIVO,0.18,0.18,202311,TRADICIONAL,3/11/2023
215722409,0.077782433,0.05676,336,SIN,0,5,0,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.422926048,25,SOLES,Incrementa,0,0.155,55,1795,0.385978701,1,1,0,0,0.05676,336,REACTIVO,0.155,0.155,202311,TRADICIONAL,3/11/2023
215722408,0.077785111,0.07298,321,SIN,0,2,1,134700,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.517712707,25,SOLES,0 o menos,0,0.21,94,1181,0.549469401,1,1,0,0,0.07298,321,REACTIVO,0.21,0.21,202311,TRADICIONAL,3/11/2023
215722400,0.077784682,0.23448,243,SIN,0,2,0,110000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.792528547,25,SOLES,0 o menos,0,0.28,228,321,0.792444886,1,1,0,0,0.23448,243,REACTIVO,0.28,0.28,202311,TRADICIONAL,3/11/2023
215722412,0.077773115,0.0686,325,SIN,0,5,1,164100,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.529912346,25,SOLES,0 o menos,0,0.189,114,908,0.488550651,1,1,0,0,0.0686,325,REACTIVO,0.189,0.189,202311,TRADICIONAL,3/11/2023
215722229,0.077663978,0.07275,321,CON,1582614.9,3,1,100000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.497051523,13,SOLES,0 o menos,0,0.17,199,1780,0.544593658,1,1,1582614.9,1582614.9,0.07275,321,REACTIVO,0.17,0.17,202311,TRADICIONAL,3/11/2023
215722268,0.077758548,0.13655466,281,SIN,0,2,1,58000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.539403774,12,SOLES,0 o menos,0,0.28,383,1310,0.276305235,1,1,0,0,0.13655466,281,REACTIVO REMOTO,0.28,0.28,202311,DIGITAL,3/11/2023
215722228,0.077746445,0.07213,322,SIN,0,5,0,200000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.778988424,24,SOLES,0 o menos,0,0.149,114,1743,0.535785562,1,1,0,0,0.07213,322,REACTIVO,0.149,0.149,202311,TRADICIONAL,3/11/2023
215722183,0.077752229,0.13165,283,SIN,0,11,0,210000,EFECTIVO DE NEGOCIO,CATR,Multiproposito,CONSOLIDACION CT,0.897092691,24,SOLES,Incrementa,0,0.205,101,1311,0.488126259,1,1,0,0,0.13165,283,CONSOLIDACION,0.205,0.205,202311,TRADICIONAL,3/11/2023
215722411,0.077723311,0.0393,359,SIN,0,2,1,47600,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.614288759,24,SOLES,0 o menos,0,0.167,196,1030,0.813440804,1,1,0,0,0.0393,359,REACTIVO,0.167,0.167,202311,TRADICIONAL,3/11/2023
215722241,0.077747088,0.05034,344,SIN,0,5,1,80000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.58546529,24,SOLES,0 o menos,0,0.195,162,1311,0.95533926,1,1,0,0,0.05034,344,REACTIVO,0.195,0.195,202311,TRADICIONAL,3/11/2023
215722398,0.077609146,0.08581,311,SIN,0,3,1,80000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,19,SOLES,Incrementa,0,0.29,44,1307,0.838059237,1,1,0,0,0.08581,311,REACTIVO,0.29,0.29,202311,TRADICIONAL,3/11/2023
215722239,0.077746767,0.09393,305,SIN,0,5,1,350000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.261507476,24,SOLES,0 o menos,0,0.1675,77,655,0.54025224,1,1,0,0,0.09393,305,REACTIVO,0.1675,0.1675,202311,TRADICIONAL,3/11/2023
215722236,0.078521386,0.009345619,443,SIN,0,5,1,122264,NEGOCIO COMERCIAL,ACFI,Mueble,ACTIVO FIJO MUEBLES,0.893599029,36,SOLES,Incrementa,0,0.135,85,1309,1,1,1,0,0,0.009345619,443,AFM,0.135,0.135,202311,TRADICIONAL,3/11/2023
215722231,0.077747409,0.06446,329,SIN,0,5,0,50000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.596241622,24,SOLES,0 o menos,0,0.22,105,1331,0.550225213,1,1,0,0,0.06446,329,REACTIVO,0.22,0.22,202311,TRADICIONAL,3/11/2023
215722223,0.07909652,0.019398641,401,CON,159356,4,1,267000,NEGOCIO COMERCIAL,ACFI,Mueble,ACTIVO FIJO MUEBLES,0.488833999,48,SOLES,0 o menos,0,0.14,182,326,0.661158715,1,1,159356,159356,0.019398641,401,AFM,0.14,0.14,202311,TRADICIONAL,3/11/2023
215713120,0.077590833,0.03179,371,SIN,0,14,1,180000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,18,SOLES,Incrementa,0,0.215,221,537,1,1,1,0,0,0.03179,371,REACTIVO,0.215,0.215,202311,TRADICIONAL,3/11/2023
215713123,0.077612358,0.0885,309,SIN,0,4,1,100000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.998758039,19,SOLES,Incrementa,0,0.235,30,1538,0.999903163,1,1,0,0,0.0885,309,REACTIVO,0.235,0.235,202311,TRADICIONAL,3/11/2023
215722220,0.077748802,0.11498,292,CON,647927.82,3,1,350000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.361462392,24,SOLES,0 o menos,0,0.145,272,1298,0.4402606,1,1,647927.82,647927.82,0.11498,292,REACTIVO,0.145,0.145,202311,TRADICIONAL,3/11/2023
215722182,0.077783075,0.06172,331,SIN,0,1,1,203300,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.474718519,25,SOLES,0 o menos,0,0.175,269,1313,0.31614362,1,1,0,0,0.06172,331,REACTIVO,0.175,0.175,202311,TRADICIONAL,3/11/2023
215722416,0.079503196,0.011825137,430,CON,313921.98,2,1,348500,NEGOCIO COMERCIAL,ACFI,Mueble,ACTIVO FIJO MUEBLES,0.883624515,60,SOLES,Incrementa,0,0.1375,45,1529,0.999999604,1,1,313921.98,313921.98,0.011825137,430,AFM,0.1375,0.1375,202311,TRADICIONAL,3/11/2023
215722421,0.077588263,0.09435,305,SIN,0,2,1,70690,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.804680393,18,SOLES,0 o menos,0,0.255,149,1721,0.473192889,1,1,0,0,0.09435,305,REACTIVO,0.255,0.255,202311,TRADICIONAL,3/11/2023
215722413,0.080132254,0.004278672,489,CON,298398.17,5,1,248000,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.635941258,72,SOLES,Incrementa,0,0.135,102,945,0.342022731,1,1,298398.17,298398.17,0.004278672,489,MULTIPROPOSITO,0.135,0.135,202311,TRADICIONAL,3/11/2023
215722406,0.077783397,0.02506,386,SIN,0,5,1,50000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.352095133,25,SOLES,0 o menos,0,0.185,113,132,0.412268572,1,1,0,0,0.02506,386,REACTIVO,0.185,0.185,202311,TRADICIONAL,3/11/2023
215722395,0.077746338,0.03585,364,SIN,0,5,1,118000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.366106816,24,SOLES,0 o menos,0,0.175,175,654,0.424605531,1,1,0,0,0.03585,364,REACTIVO,0.175,0.175,202311,TRADICIONAL,3/11/2023
