CODCLAVECIC,TT,MontoPD,ScoreApplicantVendida,TieneGarantia,MontoGarantiaBCP,NumSegmentoOrtogonal,FlgComportamientoPersona,MontoSolicitado,ProductoMic,TipoCreditoMic,TipoActivo,CampanaMic,RatioEndeudamiento,CantidadPlazo,Moneda,DeltaEntidades,PeriodoGracia,MontoTasaEspecial,NumMesesAntiguedad,V_CodLocalidad,RatioEndeudamientoU6MU12M,FlgTenenciaPasivo,MontoTipoCambio,MontoGarantiaComercial,MontoGarantiaAfectacion,NumPDVendida,ScoreApplicant,CAMPANIA_PYME,TEA_PIZARRA,TEA_10DD,MESAPERTURA,canal_venta,FECHA,Tasa_dscto_tea,CODCLAVECIC,RMIN,Target IRR - Tmin,TEA,Target IRR - TEA,IRR,producto,NPV,Net_Profit,ROE,ECAP,ROA,Avg_Balance,Spread_Neto,Margen_Neto,RemEc,RemCap,TT,Costo_t_0,Costo_lifetime,SALDO,IF,EF,EL,GEB,IxS,GASTOS,TAXES,PD Temp 12,LGD Temp 12,PD_TTC,LGD_TTC,CAP
215646834,0.081934488,0.044901096,351,CON,120403.58,1,0,364000.0,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,0.499343197,72,SOLES,0 o menos,0,0.135,148,1182,0.93221268,1,1.0,120403.58,120403.58,0.044901096,351,AFI,0.135,0.135,202311,TRADICIONAL,2/11/2023,0.17,215646834,0.22138459132531452,0.18999999999999972,0.2130542805474409,0.16999999999999882,0.16999999999988202,2,-3410.0309344845446,7036.81418794419,0.15235543272190594,46186.828144083796,0.04498040176527765,156441.78157110672,0.06437196125602378,60422.78581271171,20879.128156363036,0.006278584235227314,0.08120451959471664,-5245.7504180999995,-16168.383228045417,11263808.273119684,181087.85393054507,-74869.45619364046,-52542.618122436055,20879.128156363036,6747.006198243099,-21414.133646145416,-17666.895195264144,0.05662346061092949,0.5704177574151051,0.099678034,0.4884001534678802,0.28993074836150673
215646677,0.078336309,0.07076,323,SIN,0.0,4,1,100000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.651779295,25,SOLES,Incrementa,0,0.24,34,1307,0.54297717,1,1.0,0.0,0.0,0.07076,323,REACTIVO,0.24,0.24,202311,TRADICIONAL,2/11/2023,0.17,215646677,0.2908479978684422,0.18999999999999972,0.27935698830017297,0.16999999999999882,0.17000000024092676,1,-473.00179858557385,2329.6975370800005,0.15963502761588247,14593.89942090763,0.05916750219481681,39374.6136081453,0.11130225362648062,9130.173396371798,2290.7256708650925,0.006278584235227314,0.07874173534966333,-3013.0021074,-1523.4479731938513,984365.3402036325,20245.402480171328,-6342.461557437935,-5834.520654677444,2290.7256708650925,1061.753128315859,-4536.450080593851,-2030.9124510596969,0.0605762982918911,0.69267,0.10778951,0.70278,0.3644910255209459
215646668,0.078275338,0.07528,319,SIN,0.0,5,1,57900.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.645645734,24,SOLES,Incrementa,0,0.37,78,945,0.497644125,1,1.0,0.0,0.0,0.07528,319,REACTIVO,0.37,0.37,202311,TRADICIONAL,2/11/2023,0.17,215646668,0.3363348179838881,0.18999999999999972,0.32518909793675443,0.16999999999999882,0.1700000002110431,1,-253.5906511187386,1295.6471453107588,0.16457787139145535,7872.547714686429,0.055920232041289125,23169.55953176496,0.14435685767382023,6689.369615384198,1186.2828953401206,0.006278584235227314,0.07866603737801303,-3013.0021074,-1187.055664854078,556069.4287623591,13084.535073024515,-3582.392629594029,-3466.950212512996,1186.2828953401206,654.1773844667101,-4200.057772254078,-1084.3004478487221,0.06417944394351124,0.69267,0.094923431,0.70278,0.3338744134550452
215646682,0.085547766,0.001902988,536,CON,508823.2,5,1,505600.0,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,0.999982793,144,SOLES,Incrementa,0,0.125,118,1313,1.0,1,1.0,508823.2,508823.2,0.001902988,536,AFI,0.125,0.125,202311,TRADICIONAL,2/11/2023,0.26,215646682,0.1135434673014577,0.18999999999999972,0.12231921877901764,0.2599999999999987,0.2600000000082088,2,8950.341736242211,5252.786850417299,0.22177385061574803,23685.33005957692,0.021684259041025517,242239.62831652642,0.03944462873355313,114660.62644199147,21414.288948223006,0.006278584235227314,0.08342158213734496,-5245.7504180999995,-41420.027092671124,34882506.4775798,336912.58381242753,-233899.67953887396,-5684.378066332491,21414.288948223006,17332.100234770194,-46665.77751077112,-26375.69567443578,0.0007025923570858776,0.4615840992865399,0.006228264,0.38666658064821924,0.09768891311657639
215646664,0.083454454,0.037560284,361,SIN,0.0,3,0,688000.0,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,0.699068107,98,SOLES,0 o menos,0,0.134,197,245,0.759585537,1,1.0,0.0,0.0,0.037560284,361,AFI,0.134,0.134,202311,TRADICIONAL,2/11/2023,0.24,215646664,0.13638026868381115,0.18999999999999972,0.14421955847105616,0.24000000000000066,0.2400000000001079,2,8096.667734992065,7706.932972973578,0.21257115243955058,36255.78016831432,0.025413194549354406,303265.02077517693,0.03886126406756173,96246.30678085641,22308.227040463255,0.006278584235227314,0.08219273239237945,-5245.7504180999995,-24032.25487468417,29719972.03596734,333946.03013853513,-198143.7283437452,-54018.42122565919,22308.227040463255,14462.426211725575,-29278.00529278417,-26336.575915917965,0.026802278026590725,0.4475511048450786,0.026001935,0.37354997538994417,0.1184241048016347
215646663,0.077690645,0.02524,385,CON,2406554.72,5,1,1185000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.42743517,13,SOLES,0 o menos,0,0.129,99,1305,0.505185166,1,1.0,2406554.72,2406554.72,0.02524,385,REACTIVO,0.129,0.129,202311,TRADICIONAL,2/11/2023,0.24,215646663,0.1398168682030263,0.18999999999999972,0.14947301813285807,0.24000000000000066,0.2400000000075786,1,3209.930831117468,16426.47557740439,0.21673691703747422,75789.92910822027,0.031116497581136743,527902.4586418219,0.04806485026407037,27488.01534770825,6186.094903142276,0.006278584235227314,0.07815383980191548,-3013.0021074,-5419.479005595081,6862731.962343684,79768.2767938849,-43561.345731699315,-12017.162979487071,6186.094903142276,3298.247265009729,-8432.481112995081,-7446.280595667358,0.03702677188502789,0.3272,0.06038854,0.36763999999999997,0.1422794633084671
215646672,0.07832195,0.01887,402,SIN,0.0,4,1,161100.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.700259503,25,SOLES,0 o menos,0,0.16,217,1321,0.441952507,1,1.0,0.0,0.0,0.01887,402,REACTIVO,0.16,0.16,202311,TRADICIONAL,2/11/2023,0.27,215646672,0.18767527865008504,0.18999999999999972,0.21511056090498015,0.2699999999999987,0.2699999999874729,1,1964.3091300385277,3849.0295455535743,0.24897920035178372,15459.24133467882,0.059809438837801536,64354.88478652739,0.10316877174641384,13832.113373558343,2426.5537233122236,0.006278584235227314,0.07873124896061556,-3013.0021074,-1871.4642047377654,1608872.1196631847,26260.432049280047,-10250.862599611453,-3237.036733081811,2426.5537233122236,1059.5806569715576,-4884.466312137765,-3355.389231496175,0.01873590295026858,0.69267,0.056308282,0.70278,0.23886098543415124
215633949,0.081945236,0.028539881,378,CON,558028.19,5,0,370000.0,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,1.0,72,SOLES,Incrementa,0,0.14,85,1782,1.0,0,1.0,558028.19,558028.19,0.028539881,378,MULTIPROPOSITO,0.14,0.14,202311,TRADICIONAL,2/11/2023,0.24,215633949,0.14353332652079454,0.18999999999999972,0.15103837613892312,0.24000000000000066,0.2399999999214737,4,2995.9398195980248,3384.3363267006475,0.20735941157314405,16321.112704869221,0.023976627998242447,141151.471630987,0.050010057944607944,42353.95965139407,7378.090626971529,0.006278584235227314,0.08112084168086153,-5245.7504180999995,-15683.437505366504,10162905.957431065,119207.90364336334,-66961.75693022413,-15998.515812765198,7378.090626971529,6106.3287510200325,-20929.187923466503,-8496.844394695234,0.02401654030289843,0.3535667028806977,0.050410293,0.2857115862921996,0.11443835600280286
215633947,0.082003711,0.018117091,405,SIN,0.0,2,0,300000.0,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.975410443,72,SOLES,Incrementa,0,0.135,292,1175,0.994710615,1,1.0,0.0,0.0,0.018117091,405,MULTIPROPOSITO,0.135,0.135,202311,TRADICIONAL,2/11/2023,0.26,215633947,0.14019193415763453,0.18999999999999972,0.15072596397872196,0.2599999999999987,0.2599999999999689,4,4065.723614959061,3676.4421377626445,0.22700427310933485,16195.475474560404,0.026148593368048128,140598.08441761218,0.05677477022190312,47894.543618698015,7321.295303754159,0.006278584235227314,0.08112039710811758,-5245.7504180999995,-18681.219246797737,10123062.078068078,118773.4062933249,-66407.02408035468,-10690.49032008035,7321.295303754159,6218.65172580815,-23926.969664897737,-9230.216430978555,0.014692529721829066,0.41045568344094696,0.03264898,0.33887836054116544,0.1145054277981702
215646634,0.081149566,0.091620208,307,CON,495020.22,3,0,1000000.0,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.601673763,61,SOLES,0 o menos,0,0.127,203,1303,0.65174855,1,1.0,495020.22,495020.22,0.091620208,307,MULTIPROPOSITO,0.127,0.127,202311,TRADICIONAL,2/11/2023,0.13,215646634,0.18594202576897656,0.18999999999999972,0.17200543399351242,0.13000000000000056,0.13000000002142365,4,-12239.394816013926,7180.225561190535,0.1156548023981626,62083.246110881824,0.019661714739499105,365188.166765838,0.025989287420995266,48245.81616318722,23777.488308514723,0.006278584235227314,0.08066487335630179,-5245.7504180999995,-15005.242087570956,22276478.17271612,292787.4188082083,-148185.76875648455,-106969.91173231373,23777.488308514723,10614.077843777264,-20250.992505670954,-15272.832029979143,0.08413158584728035,0.4133503759296669,0.070804203,0.3415838338006688,0.16574906998538771
