product_code_final,Moneda,CantidadPlazo,t,prepagoRDM
1,SOLES,6,101,0
1,SOLES,6,102,0
1,SOLES,6,103,0
1,SOLES,6,104,0
1,SOLES,6,105,0
1,SOLES,6,106,0
1,SOLES,6,107,0
1,SOLES,6,108,0
1,SOLES,6,109,0
1,SOLES,6,110,0
1,SOLES,6,111,0
1,SOLES,6,112,0
1,SOLES,6,113,0
1,SOLES,6,114,0
1,SOLES,6,115,0
1,SOLES,6,116,0
1,SOLES,6,117,0
1,SOLES,6,118,0
1,SOLES,6,119,0
1,SOLES,6,120,0
1,SOLES,6,121,0
1,SOLES,6,122,0
1,SOLES,6,123,0
1,SOLES,6,124,0
1,SOLES,6,125,0
1,SOLES,6,126,0
1,SOLES,6,127,0
1,SOLES,6,128,0
1,SOLES,6,129,0
1,SOLES,6,130,0
1,SOLES,6,131,0
1,SOLES,6,132,0
1,SOLES,6,133,0
1,SOLES,6,134,0
1,SOLES,6,135,0
1,SOLES,6,136,0
1,SOLES,6,137,0
1,SOLES,6,138,0
1,SOLES,6,139,0
1,SOLES,6,140,0
1,SOLES,6,141,0
1,SOLES,6,142,0
1,SOLES,6,143,0
1,SOLES,6,144,0
1,SOLES,12,1,0
1,SOLES,12,2,1.44E-63
1,SOLES,12,3,1.68E-63
1,SOLES,12,4,1.90E-63
1,SOLES,12,5,2.09E-63
1,SOLES,12,6,2.26E-63
1,SOLES,12,7,2.40E-63
1,SOLES,12,8,2.53E-63
1,SOLES,12,9,2.63E-63
1,SOLES,12,10,2.72E-63
1,SOLES,12,11,2.80E-63
1,SOLES,12,12,2.86E-63
1,SOLES,12,13,2.91E-63
1,SOLES,12,14,0
1,SOLES,12,15,0
1,SOLES,12,16,0
1,SOLES,12,17,0
1,SOLES,12,18,0
1,SOLES,12,19,0
1,SOLES,12,20,0
1,SOLES,12,21,0
1,SOLES,12,22,0
1,SOLES,12,23,0
1,SOLES,12,24,0
1,SOLES,12,25,0
1,SOLES,12,26,0
1,SOLES,12,27,0
1,SOLES,12,28,0
1,SOLES,12,29,0
1,SOLES,12,30,0
1,SOLES,12,31,0
1,SOLES,12,32,0
1,SOLES,12,33,0
1,SOLES,12,34,0
1,SOLES,12,35,0
1,SOLES,12,36,0
1,SOLES,12,37,0
1,SOLES,12,38,0
1,SOLES,12,39,0
1,SOLES,12,40,0
1,SOLES,12,41,0
1,SOLES,12,42,0
1,SOLES,12,43,0
1,SOLES,12,44,0
1,SOLES,12,45,0
1,SOLES,12,46,0
1,SOLES,12,47,0
1,SOLES,12,48,0
1,SOLES,12,49,0
1,SOLES,12,50,0
1,SOLES,12,51,0
1,SOLES,12,52,0
1,SOLES,12,53,0
1,SOLES,12,54,0
1,SOLES,12,55,0
1,SOLES,12,56,0
1,SOLES,12,57,0
1,SOLES,12,58,0
1,SOLES,12,59,0
1,SOLES,12,60,0
1,SOLES,12,61,0
1,SOLES,12,62,0
1,SOLES,12,63,0
1,SOLES,12,64,0
1,SOLES,12,65,0
1,SOLES,12,66,0
1,SOLES,12,67,0
1,SOLES,12,68,0
1,SOLES,12,69,0
1,SOLES,12,70,0
1,SOLES,12,71,0
1,SOLES,12,72,0
1,SOLES,12,73,0
1,SOLES,12,74,0
1,SOLES,12,75,0
1,SOLES,12,76,0
1,SOLES,12,77,0
1,SOLES,12,78,0
1,SOLES,12,79,0
1,SOLES,12,80,0
1,SOLES,12,81,0
1,SOLES,12,82,0
1,SOLES,12,83,0
1,SOLES,12,84,0
1,SOLES,12,85,0
1,SOLES,12,86,0
1,SOLES,12,87,0
1,SOLES,12,88,0
1,SOLES,12,89,0
1,SOLES,12,90,0
1,SOLES,12,91,0
1,SOLES,12,92,0
1,SOLES,12,93,0
1,SOLES,12,94,0
1,SOLES,12,95,0
1,SOLES,12,96,0
1,SOLES,12,97,0
1,SOLES,12,98,0
1,SOLES,12,99,0
1,SOLES,12,100,0
1,SOLES,12,101,0
1,SOLES,12,102,0
1,SOLES,12,103,0
1,SOLES,12,104,0
1,SOLES,12,105,0
1,SOLES,12,106,0
1,SOLES,12,107,0
1,SOLES,12,108,0
1,SOLES,12,109,0
1,SOLES,12,110,0
1,SOLES,12,111,0
1,SOLES,12,112,0
1,SOLES,12,113,0
1,SOLES,12,114,0
1,SOLES,12,115,0
1,SOLES,12,116,0
1,SOLES,12,117,0
1,SOLES,12,118,0
1,SOLES,12,119,0
1,SOLES,12,120,0
1,SOLES,12,121,0
1,SOLES,12,122,0
1,SOLES,12,123,0
1,SOLES,12,124,0
1,SOLES,12,125,0
1,SOLES,12,126,0
1,SOLES,12,127,0
1,SOLES,12,128,0
1,SOLES,12,129,0
1,SOLES,12,130,0
1,SOLES,12,131,0
1,SOLES,12,132,0
1,SOLES,12,133,0
1,SOLES,12,134,0
1,SOLES,12,135,0
1,SOLES,12,136,0
1,SOLES,12,137,0
1,SOLES,12,138,0
1,SOLES,12,139,0
1,SOLES,12,140,0
1,SOLES,12,141,0
1,SOLES,12,142,0
1,SOLES,12,143,0
1,SOLES,12,144,0
1,SOLES,18,1,0
1,SOLES,18,2,1.44E-63
1,SOLES,18,3,1.68E-63
1,SOLES,18,4,1.90E-63
1,SOLES,18,5,2.09E-63
1,SOLES,18,6,2.26E-63
1,SOLES,18,7,2.40E-63
1,SOLES,18,8,2.53E-63
1,SOLES,18,9,2.63E-63
1,SOLES,18,10,2.72E-63
1,SOLES,18,11,2.80E-63
1,SOLES,18,12,2.86E-63
1,SOLES,18,13,2.91E-63
1,SOLES,18,14,2.94E-63
1,SOLES,18,15,2.97E-63
1,SOLES,18,16,2.99E-63
1,SOLES,18,17,3.00E-63
1,SOLES,18,18,3.00E-63
1,SOLES,18,19,3.00E-63
1,SOLES,18,20,0
1,SOLES,18,21,0
1,SOLES,18,22,0
1,SOLES,18,23,0
1,SOLES,18,24,0
1,SOLES,18,25,0
1,SOLES,18,26,0
1,SOLES,18,27,0
1,SOLES,18,28,0
1,SOLES,18,29,0
1,SOLES,18,30,0
1,SOLES,18,31,0
1,SOLES,18,32,0
1,SOLES,18,33,0
1,SOLES,18,34,0
1,SOLES,18,35,0
1,SOLES,18,36,0
1,SOLES,18,37,0
1,SOLES,18,38,0
1,SOLES,18,39,0
1,SOLES,18,40,0
1,SOLES,18,41,0
1,SOLES,18,42,0
1,SOLES,18,43,0
1,SOLES,18,44,0
1,SOLES,18,45,0
1,SOLES,18,46,0
1,SOLES,18,47,0
1,SOLES,18,48,0
1,SOLES,18,49,0
1,SOLES,18,50,0
1,SOLES,18,51,0
1,SOLES,18,52,0
1,SOLES,18,53,0
1,SOLES,18,54,0
1,SOLES,18,55,0
1,SOLES,18,56,0
1,SOLES,18,57,0
1,SOLES,18,58,0
1,SOLES,18,59,0
1,SOLES,18,60,0
1,SOLES,18,61,0
1,SOLES,18,62,0
1,SOLES,18,63,0
1,SOLES,18,64,0
1,SOLES,18,65,0
1,SOLES,18,66,0
1,SOLES,18,67,0
1,SOLES,18,68,0
1,SOLES,18,69,0
1,SOLES,18,70,0
1,SOLES,18,71,0
1,SOLES,18,72,0
1,SOLES,18,73,0
1,SOLES,18,74,0
1,SOLES,18,75,0
1,SOLES,18,76,0
1,SOLES,18,77,0
1,SOLES,18,78,0
1,SOLES,18,79,0
1,SOLES,18,80,0
1,SOLES,18,81,0
1,SOLES,18,82,0
1,SOLES,18,83,0
1,SOLES,18,84,0
1,SOLES,18,85,0
1,SOLES,18,86,0
1,SOLES,18,87,0
1,SOLES,18,88,0
1,SOLES,18,89,0
1,SOLES,18,90,0
1,SOLES,18,91,0
1,SOLES,18,92,0
1,SOLES,18,93,0
1,SOLES,18,94,0
