MESAPERTURA,t,Moneda,tt_fact
202311,1,SOLES,0.0
202311,2,SOLES,0.07766648
202311,3,SOLES,0.0794751799999999
202311,4,SOLES,0.08032633
202311,5,SOLES,0.0790496
202311,6,SOLES,0.078624025
202311,7,SOLES,0.07819845
202311,8,SOLES,0.0781275166666666
202311,9,SOLES,0.0780565833333333
202311,10,SOLES,0.07798565
202311,11,SOLES,0.0777168689473684
202311,12,SOLES,0.0774480878947368
202311,13,SOLES,0.0771793068421052
202311,14,SOLES,0.07733155
202311,15,SOLES,0.077567998
202311,16,SOLES,0.077804446
202311,17,SOLES,0.078040894
202311,18,SOLES,0.078277342
202311,19,SOLES,0.07851379
202311,20,SOLES,0.0786337716666666
202311,21,SOLES,0.0787537533333333
202311,22,SOLES,0.078873735
202311,23,SOLES,0.0789937166666666
202311,24,SOLES,0.0791136983333333
202311,25,SOLES,0.07923368
202311,26,SOLES,0.0794140425
202311,27,SOLES,0.079594405
202311,28,SOLES,0.0797747675
202311,29,SOLES,0.07995513
202311,30,SOLES,0.0801354925
202311,31,SOLES,0.080315855
202311,32,SOLES,0.0804962175
202311,33,SOLES,0.08067658
202311,34,SOLES,0.0808569425
202311,35,SOLES,0.081037305
202311,36,SOLES,0.0812176675
202311,37,SOLES,0.08139803
202311,38,SOLES,0.0814334833333333
202311,39,SOLES,0.0814689366666666
202311,40,SOLES,0.08150439
202311,41,SOLES,0.0815398433333333
202311,42,SOLES,0.0815752966666666
202311,43,SOLES,0.08161075
202311,44,SOLES,0.0816462033333333
202311,45,SOLES,0.0816816566666666
202311,46,SOLES,0.08171711
202311,47,SOLES,0.0817525633333333
202311,48,SOLES,0.0817880166666666
202311,49,SOLES,0.08182347
202311,50,SOLES,0.0819061966666666
202311,51,SOLES,0.0819889233333333
202311,52,SOLES,0.08207165
202311,53,SOLES,0.0821543766666666
202311,54,SOLES,0.0822371033333333
202311,55,SOLES,0.08231983
202311,56,SOLES,0.0824025566666666
202311,57,SOLES,0.0824852833333333
202311,58,SOLES,0.08256801
202311,59,SOLES,0.0826507366666666
202311,60,SOLES,0.0827334633333333
202311,61,SOLES,0.08281619
202311,62,SOLES,0.0830072108333333
202311,63,SOLES,0.0831982316666666
202311,64,SOLES,0.0833892525
202311,65,SOLES,0.0835802733333333
202311,66,SOLES,0.0837712941666666
202311,67,SOLES,0.083962315
202311,68,SOLES,0.0841533358333333
202311,69,SOLES,0.0843443566666666
202311,70,SOLES,0.0845353775
202311,71,SOLES,0.0847263983333333
202311,72,SOLES,0.0849174191666666
202311,73,SOLES,0.08510844
202311,74,SOLES,0.0852289458333333
202311,75,SOLES,0.0853494516666666
202311,76,SOLES,0.0854699575
202311,77,SOLES,0.0855904633333333
202311,78,SOLES,0.0857109691666666
202311,79,SOLES,0.0858314749999999
202311,80,SOLES,0.0859519808333333
202311,81,SOLES,0.0860724866666666
202311,82,SOLES,0.0861929925
202311,83,SOLES,0.0863134983333333
202311,84,SOLES,0.0864340041666666
